drafter,split,position,step,acc,sum,total
eagle3,train,2,650,0.210,3.41e+03,1.62e+04
eagle3,train,2,660,0.270,3.70e+03,1.37e+04
eagle3,train,2,670,0.233,4.40e+03,1.89e+04
eagle3,train,2,680,0.237,3.86e+03,1.63e+04
eagle3,train,2,690,0.271,4.50e+03,1.66e+04
eagle3,train,2,700,0.232,3.78e+03,1.62e+04
eagle3,train,2,710,0.267,4.21e+03,1.58e+04
eagle3,train,2,720,0.232,3.92e+03,1.69e+04
eagle3,train,2,730,0.294,3.60e+03,1.23e+04
eagle3,train,2,740,0.255,3.76e+03,1.47e+04
eagle3,train,2,750,0.255,4.79e+03,1.87e+04
eagle3,train,2,760,0.260,3.88e+03,1.49e+04
eagle3,train,2,770,0.230,4.02e+03,1.75e+04
eagle3,train,2,780,0.263,4.15e+03,1.58e+04
eagle3,train,2,790,0.271,2.68e+03,9.89e+03
eagle3,train,2,800,0.227,4.54e+03,2.00e+04
eagle3,train,2,810,0.284,4.18e+03,1.47e+04
eagle3,train,2,820,0.283,4.54e+03,1.60e+04
eagle3,train,2,830,0.270,5.05e+03,1.87e+04
eagle3,train,2,840,0.243,3.52e+03,1.44e+04
eagle3,train,2,850,0.303,4.84e+03,1.59e+04
eagle3,train,2,860,0.264,4.94e+03,1.87e+04
eagle3,train,2,870,0.309,4.27e+03,1.38e+04
eagle3,train,2,880,0.287,2.47e+03,8.62e+03
eagle3,train,2,890,0.299,4.36e+03,1.46e+04
eagle3,train,2,900,0.261,4.56e+03,1.75e+04
eagle3,train,2,910,0.290,3.34e+03,1.15e+04
eagle3,train,2,920,0.299,4.40e+03,1.47e+04
eagle3,train,2,930,0.291,4.82e+03,1.66e+04
eagle3,train,2,940,0.268,3.08e+03,1.15e+04
eagle3,train,2,950,0.313,6.82e+03,2.18e+04
eagle3,train,2,960,0.330,6.04e+03,1.83e+04
eagle3,train,2,970,0.322,4.61e+03,1.43e+04
eagle3,train,2,980,0.325,4.22e+03,1.30e+04
eagle3,train,2,990,0.328,7.63e+03,2.33e+04
eagle3,train,2,1000,0.328,5.42e+03,1.65e+04
eagle3,train,2,1010,0.343,4.63e+03,1.35e+04
eagle3,train,2,1020,0.291,4.70e+03,1.62e+04
eagle3,train,2,1030,0.357,4.62e+03,1.29e+04
eagle3,train,2,1040,0.305,4.32e+03,1.42e+04
eagle3,train,2,1050,0.321,5.94e+03,1.85e+04
eagle3,train,2,1060,0.329,4.99e+03,1.51e+04
eagle3,train,2,1070,0.297,5.79e+03,1.95e+04
eagle3,train,2,1080,0.330,5.06e+03,1.53e+04
eagle3,train,2,1090,0.318,5.56e+03,1.75e+04
eagle3,train,2,1100,0.319,6.13e+03,1.92e+04
eagle3,train,2,1110,0.359,5.07e+03,1.41e+04
eagle3,train,2,1120,0.323,4.84e+03,1.50e+04
eagle3,train,2,1130,0.337,5.39e+03,1.60e+04
eagle3,train,2,1140,0.307,4.55e+03,1.48e+04
eagle3,train,2,1150,0.334,6.64e+03,1.99e+04
eagle3,train,2,1160,0.280,4.76e+03,1.70e+04
eagle3,train,2,1170,0.367,4.28e+03,1.17e+04
eagle3,train,2,1180,0.336,5.76e+03,1.71e+04
eagle3,train,2,1190,0.301,4.62e+03,1.54e+04
eagle3,train,2,1200,0.299,3.06e+03,1.02e+04
eagle3,train,2,1210,0.317,5.41e+03,1.71e+04
eagle3,train,2,1220,0.350,4.70e+03,1.34e+04
eagle3,train,2,1230,0.334,4.57e+03,1.37e+04
eagle3,train,2,1240,0.261,5.43e+03,2.08e+04
eagle3,train,2,1250,0.346,5.33e+03,1.54e+04
eagle3,train,2,1260,0.344,6.49e+03,1.89e+04
eagle3,train,2,1270,0.352,6.23e+03,1.77e+04
eagle3,train,2,1280,0.371,4.36e+03,1.18e+04
eagle3,train,2,1290,0.312,5.04e+03,1.62e+04
eagle3,train,2,1300,0.329,5.31e+03,1.61e+04
eagle3,train,2,1310,0.313,6.20e+03,1.98e+04
eagle3,train,2,1320,0.399,4.31e+03,1.08e+04
eagle3,train,2,1330,0.357,6.01e+03,1.68e+04
eagle3,train,2,1340,0.368,3.98e+03,1.08e+04
eagle3,train,2,1350,0.354,6.69e+03,1.89e+04
eagle3,train,2,1360,0.339,5.48e+03,1.61e+04
eagle3,train,2,1370,0.320,4.92e+03,1.54e+04
eagle3,train,2,1380,0.331,4.45e+03,1.34e+04
eagle3,train,2,1390,0.346,4.14e+03,1.20e+04
eagle3,train,2,1400,0.316,4.57e+03,1.45e+04
eagle3,train,2,1410,0.352,5.81e+03,1.65e+04
eagle3,val,2,471,0.212,1.73e+05,8.17e+05
eagle3,val,2,942,0.266,2.17e+05,8.17e+05
eagle3,val,2,1413,0.299,2.44e+05,8.17e+05
eagle3,train,3,0,0.00e+00,0.00e+00,1.70e+04
eagle3,train,3,10,0.001,25.000,1.87e+04
eagle3,train,3,20,0.014,250.000,1.83e+04
eagle3,train,3,30,0.018,311.000,1.70e+04
eagle3,train,3,40,0.025,453.000,1.84e+04
eagle3,train,3,50,0.023,366.000,1.57e+04
eagle3,train,3,60,0.034,553.000,1.63e+04
eagle3,train,3,70,0.037,663.000,1.79e+04
eagle3,train,3,80,0.055,776.000,1.40e+04
eagle3,train,3,90,0.055,750.000,1.36e+04
eagle3,train,3,100,0.035,663.000,1.89e+04
eagle3,train,3,110,0.052,976.000,1.88e+04
eagle3,train,3,120,0.039,682.000,1.76e+04
eagle3,train,3,130,0.057,736.000,1.28e+04
eagle3,train,3,140,0.054,797.000,1.47e+04
eagle3,train,3,150,0.064,1.02e+03,1.61e+04
eagle3,train,3,160,0.079,964.000,1.21e+04
eagle3,train,3,170,0.056,998.000,1.77e+04
eagle3,train,3,180,0.064,990.000,1.55e+04
eagle3,train,3,190,0.074,1.12e+03,1.51e+04
eagle3,train,3,200,0.083,1.18e+03,1.42e+04
eagle3,train,3,210,0.072,820.000,1.14e+04
eagle3,train,3,220,0.065,739.000,1.13e+04
eagle3,train,3,230,0.080,1.15e+03,1.44e+04
eagle3,train,3,240,0.080,1.45e+03,1.81e+04
eagle3,train,3,250,0.083,1.09e+03,1.30e+04
eagle3,train,3,260,0.086,1.30e+03,1.50e+04
eagle3,train,3,270,0.095,1.42e+03,1.49e+04
eagle3,train,3,280,0.087,1.54e+03,1.77e+04
eagle3,train,3,290,0.083,1.25e+03,1.50e+04
eagle3,train,3,300,0.091,1.44e+03,1.57e+04
eagle3,train,3,310,0.088,1.29e+03,1.47e+04
eagle3,train,3,320,0.081,1.33e+03,1.65e+04
eagle3,train,3,330,0.089,1.36e+03,1.53e+04
eagle3,train,3,340,0.075,1.17e+03,1.56e+04
eagle3,train,3,350,0.101,1.21e+03,1.20e+04
eagle3,train,3,360,0.097,1.47e+03,1.52e+04
eagle3,train,3,370,0.078,1.14e+03,1.47e+04
eagle3,train,3,380,0.079,1.46e+03,1.85e+04
eagle3,train,3,390,0.090,1.11e+03,1.23e+04
eagle3,train,3,400,0.108,1.37e+03,1.27e+04
eagle3,train,3,410,0.128,1.66e+03,1.30e+04
eagle3,train,3,420,0.084,1.50e+03,1.80e+04
eagle3,train,3,430,0.120,2.23e+03,1.87e+04
eagle3,train,3,440,0.114,1.35e+03,1.18e+04
eagle3,train,3,450,0.124,2.12e+03,1.71e+04
eagle3,train,3,460,0.111,1.63e+03,1.47e+04
eagle3,train,3,470,0.092,2.07e+03,2.25e+04
eagle3,train,3,480,0.094,1.70e+03,1.81e+04
eagle3,train,3,490,0.128,2.15e+03,1.68e+04
eagle3,train,3,500,0.098,2.02e+03,2.07e+04
eagle3,train,3,510,0.078,990.000,1.27e+04
eagle3,train,3,520,0.116,2.29e+03,1.97e+04
eagle3,train,3,530,0.109,1.52e+03,1.40e+04
eagle3,train,3,540,0.128,1.77e+03,1.38e+04
eagle3,train,3,550,0.129,2.10e+03,1.63e+04
eagle3,train,3,560,0.094,1.87e+03,1.99e+04
eagle3,train,3,570,0.112,2.52e+03,2.26e+04
eagle3,train,3,580,0.136,2.66e+03,1.96e+04
eagle3,train,3,590,0.130,2.30e+03,1.77e+04
eagle3,train,3,600,0.130,2.43e+03,1.88e+04
eagle3,train,3,610,0.123,1.81e+03,1.47e+04
eagle3,train,3,620,0.131,1.98e+03,1.51e+04
eagle3,train,3,630,0.119,2.54e+03,2.13e+04
eagle3,train,3,640,0.125,1.94e+03,1.55e+04
eagle3,train,3,650,0.087,1.42e+03,1.62e+04
eagle3,train,3,660,0.139,1.90e+03,1.37e+04
eagle3,train,3,670,0.111,2.10e+03,1.89e+04
eagle3,train,3,680,0.113,1.84e+03,1.63e+04
eagle3,train,3,690,0.137,2.28e+03,1.66e+04
eagle3,train,3,700,0.109,1.77e+03,1.62e+04
eagle3,train,3,710,0.138,2.17e+03,1.58e+04
eagle3,train,3,720,0.109,1.85e+03,1.69e+04
eagle3,train,3,730,0.164,2.01e+03,1.23e+04
eagle3,train,3,740,0.127,1.88e+03,1.47e+04
eagle3,train,3,750,0.133,2.49e+03,1.87e+04
eagle3,train,3,760,0.128,1.92e+03,1.49e+04
eagle3,train,3,770,0.107,1.86e+03,1.75e+04
eagle3,train,3,780,0.138,2.17e+03,1.57e+04
eagle3,train,3,790,0.145,1.44e+03,9.88e+03
eagle3,train,3,800,0.104,2.08e+03,2.00e+04
eagle3,train,3,810,0.151,2.22e+03,1.47e+04
eagle3,train,3,820,0.151,2.42e+03,1.60e+04
eagle3,train,3,830,0.137,2.56e+03,1.87e+04
eagle3,train,3,840,0.118,1.70e+03,1.44e+04
eagle3,train,3,850,0.186,2.97e+03,1.59e+04
eagle3,train,3,860,0.127,2.38e+03,1.87e+04
eagle3,train,3,870,0.176,2.42e+03,1.38e+04
eagle3,train,3,880,0.155,1.34e+03,8.61e+03
eagle3,train,3,890,0.166,2.42e+03,1.46e+04
eagle3,train,3,900,0.137,2.39e+03,1.74e+04
eagle3,train,3,910,0.152,1.75e+03,1.15e+04
eagle3,train,3,920,0.167,2.45e+03,1.47e+04
eagle3,train,3,930,0.155,2.56e+03,1.65e+04
eagle3,train,3,940,0.137,1.57e+03,1.15e+04
eagle3,train,3,950,0.174,3.80e+03,2.18e+04
eagle3,train,3,960,0.183,3.34e+03,1.83e+04
eagle3,train,3,970,0.173,2.47e+03,1.43e+04
eagle3,train,3,980,0.184,2.38e+03,1.29e+04
eagle3,train,3,990,0.183,4.27e+03,2.33e+04
eagle3,train,3,1000,0.182,3.00e+03,1.65e+04
eagle3,train,3,1010,0.191,2.58e+03,1.35e+04
eagle3,train,3,1020,0.152,2.45e+03,1.62e+04
eagle3,train,3,1030,0.208,2.69e+03,1.29e+04
eagle3,train,3,1040,0.163,2.31e+03,1.41e+04
eagle3,train,3,1050,0.175,3.22e+03,1.85e+04
eagle3,train,3,1060,0.186,2.82e+03,1.51e+04
eagle3,train,3,1070,0.154,3.01e+03,1.95e+04
eagle3,train,3,1080,0.183,2.81e+03,1.53e+04
eagle3,train,3,1090,0.170,2.98e+03,1.75e+04
eagle3,train,3,1100,0.180,3.45e+03,1.92e+04
eagle3,train,3,1110,0.214,3.03e+03,1.41e+04
eagle3,train,3,1120,0.176,2.63e+03,1.50e+04
eagle3,train,3,1130,0.187,2.98e+03,1.60e+04
eagle3,train,3,1140,0.164,2.43e+03,1.48e+04
eagle3,train,3,1150,0.187,3.72e+03,1.99e+04
eagle3,train,3,1160,0.142,2.40e+03,1.70e+04
eagle3,train,3,1170,0.217,2.53e+03,1.17e+04
eagle3,train,3,1180,0.185,3.16e+03,1.71e+04
eagle3,train,3,1190,0.164,2.51e+03,1.54e+04
eagle3,train,3,1200,0.164,1.68e+03,1.02e+04
eagle3,train,3,1210,0.167,2.86e+03,1.71e+04
eagle3,train,3,1220,0.201,2.70e+03,1.34e+04
eagle3,train,3,1230,0.192,2.63e+03,1.37e+04
