subset,num_drafts,num_draft_tokens,num_accepted_tokens,acceptance_length,acceptance_at_pos_0,acceptance_at_pos_1,acceptance_at_pos_2,acceptance_at_pos_3,acceptance_at_pos_4,acceptance_at_pos_5,acceptance_at_pos_6,acceptance_at_pos_7
HumanEval,200387.0,1603096.0,294629.0,2.4702999695589036,0.6506160579279094,0.3795306082729918,0.2111863544042278,0.1129115162161218,0.060173564153363245,0.031099821844730445,0.016273510756685813,0.00850853598287314
math_reasoning,57857.0,462856.0,97301.0,2.6817498314810653,0.6720880792298253,0.4145565791520473,0.25253642601586673,0.15306704460998669,0.09112121264496949,0.053338403304699515,0.029382788599478023,0.015659297924192406
qa,51928.0,415424.0,49181.0,1.9470998305345864,0.5252079802803882,0.23690494530888923,0.10277692189185025,0.04633338468648898,0.021144661839470034,0.009339855184101064,0.00390925897396395,0.0014828223694346018
question,66814.0,534512.0,82167.0,2.229787170353519,0.590879157062891,0.3093213997066483,0.15896369024455953,0.08406920705241416,0.04518514083874637,0.022794623881222498,0.01233274463435807,0.00624120693267878
rag,36758.0,294064.0,35869.0,1.975814788617444,0.531312911475053,0.2493062734642799,0.11018009684966538,0.04899613689536972,0.02092061592034387,0.008977637521083846,0.004080744327765384,0.002040372163882692
summarization,28334.0,226672.0,21704.0,1.7660055057528057,0.48023575915860806,0.18401919954824592,0.06462200889390837,0.02339944942471942,0.008540975506458671,0.0033881555728100515,0.001341144914237312,0.00045881273381802784
tool_call,66722.0,533776.0,73882.0,2.1073109319265013,0.5694223794250772,0.28441893228620246,0.1315308294115884,0.06438655915590061,0.031039237432930668,0.015257336410779053,0.007688618446689248,0.0035670393573334134
translation,32499.0,259992.0,26636.0,1.819594449059971,0.470291393581341,0.2170528323948429,0.0857872549924613,0.029908612572694546,0.011354195513708113,0.003538570417551309,0.0013231176343887505,0.0003384719529831687
writing,66039.0,528312.0,81312.0,2.23127242992777,0.5898938506034314,0.30868123381638124,0.16058692590741835,0.08467723617862172,0.0449885673617105,0.023758688047971654,0.012265479489392632,0.006420448522842563
