subset,num_drafts,num_draft_tokens,num_accepted_tokens,acceptance_length,acceptance_at_pos_0,acceptance_at_pos_1,acceptance_at_pos_2
HumanEval,129033.0,387099.0,155739.0,2.2069703099207176,0.6288158843086652,0.366820890779878,0.2113335348321747
math_reasoning,65594.0,196782.0,87112.0,2.328048297100344,0.6682013598804769,0.40707991584596154,0.25276702137390616
qa,54564.0,163692.0,50144.0,1.9189942086357306,0.533575251081299,0.2555347848398211,0.12988417271461036
question,71791.0,215373.0,76361.0,2.063657004359878,0.5894889331531807,0.30920310345307905,0.16496496775361813
rag,36990.0,110970.0,34011.0,1.919464720194647,0.5407137064071371,0.25579886455798867,0.1229521492295215
summarization,27465.0,82395.0,19443.0,1.7079191698525396,0.46280720917531404,0.1777535044602221,0.06735845621700345
tool_call,34873.0,104619.0,32390.0,1.9287987841596652,0.545694376738451,0.2603733547443581,0.12273105267685602
translation,34083.0,102249.0,27418.0,1.804447965261274,0.49039110406947745,0.21943490889886455,0.09462195229293197
writing,74173.0,222519.0,79183.0,2.0675447939277096,0.587127391368827,0.3136046809485932,0.16681272161028945
