subset,num_drafts,num_draft_tokens,num_accepted_tokens,acceptance_length,acceptance_at_pos_0,acceptance_at_pos_1,acceptance_at_pos_2,acceptance_at_pos_3,acceptance_at_pos_4,acceptance_at_pos_5,acceptance_at_pos_6,acceptance_at_pos_7,acceptance_at_pos_8,acceptance_at_pos_9,acceptance_at_pos_10,acceptance_at_pos_11,acceptance_at_pos_12,acceptance_at_pos_13,acceptance_at_pos_14
HumanEval,124553.0,1868295.0,155108.0,2.2453172545020994,0.6367008422117492,0.31986383306704774,0.15246521561102502,0.072065706968118,0.033672412547269034,0.014989602819683187,0.00680834664761186,0.00262538838887863,0.0012765649964272237,0.0008911868842982506,0.0008269571989434216,0.0007948423562660073,0.0007787849349273,0.0007787849349273,0.0007787849349273
math_reasoning,62435.0,936525.0,90491.0,2.449363337871386,0.6626411467926644,0.36612476976055097,0.2020341154800993,0.11051493553295427,0.058669015776407464,0.028990149755745976,0.012348842796508368,0.0053335468887643145,0.002114198766717386,0.0005285496916793465,6.406662929446625e-05,0.0,0.0,0.0,0.0
qa,54988.0,824820.0,47191.0,1.8582054266385393,0.5278242525641959,0.20444460609587548,0.07676220266239907,0.030042918454935622,0.012730050192769331,0.004455517567469266,0.0015276060231323198,0.00036371571979340947,5.455735796901142e-05,0.0,0.0,0.0,0.0,0.0,0.0
question,72458.0,1086870.0,74508.0,2.028292252063264,0.5759198432195203,0.25725247729719286,0.11028457865246073,0.04943553506859146,0.022054155510778658,0.008708493196058407,0.003063843881973005,0.0011454911810980155,0.0003174252670512573,9.660768997212179e-05,1.3801098567445969e-05,0.0,0.0,0.0,0.0
rag,38736.0,581040.0,34552.0,1.891986782321355,0.5314436183395291,0.2206216439487815,0.08209417596034696,0.034773853779429986,0.015412019826517968,0.005498760842627013,0.0016263940520446097,0.0004130524576621231,7.744733581164808e-05,2.5815778603882695e-05,0.0,0.0,0.0,0.0,0.0
summarization,28343.0,425145.0,18887.0,1.6663726493314046,0.4602547366192711,0.1495960201813499,0.040397981865010764,0.010655188229898034,0.003492925942913594,0.0013760011290265674,0.0004586670430088558,0.0001411283209258018,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tool_call,34492.0,517380.0,32529.0,1.9430882523483706,0.5531137655108431,0.23538791603850168,0.09071668792763539,0.03876261162008582,0.015916734315203525,0.0058274382465499245,0.0024353473269163864,0.0007248057520584483,0.00020294561057636554,0.0,0.0,0.0,0.0,0.0,0.0
translation,31841.0,477615.0,23981.0,1.7531484563927013,0.4735718099305926,0.18988097107502905,0.06221538268270469,0.019785810747149902,0.005810119028924971,0.0014446782450299928,0.0002512483904399987,0.00015703024402499922,3.140604880499984e-05,0.0,0.0,0.0,0.0,0.0,0.0
writing,73606.0,1104090.0,76863.0,2.044249110126892,0.5781593891802299,0.25935385702252534,0.11383582860092928,0.0525228921555308,0.023951851751215933,0.010569790506208734,0.0038176235632964703,0.0014265141428687878,0.000421161318370785,0.0001630301877564329,2.7171697959405482e-05,0.0,0.0,0.0,0.0
