subset,num_drafts,num_draft_tokens,num_accepted_tokens,acceptance_length,acceptance_at_pos_0,acceptance_at_pos_1,acceptance_at_pos_2,acceptance_at_pos_3,acceptance_at_pos_4,acceptance_at_pos_5,acceptance_at_pos_6,acceptance_at_pos_7,acceptance_at_pos_8,acceptance_at_pos_9,acceptance_at_pos_10,acceptance_at_pos_11,acceptance_at_pos_12,acceptance_at_pos_13,acceptance_at_pos_14
HumanEval,127947.0,1919205.0,156587.0,2.2238426848617006,0.6295184724925165,0.31613871368613566,0.1490460893963907,0.0688253730060103,0.03145833821816846,0.014029246484872642,0.005924328042079923,0.0025948244194861935,0.0013286751545561835,0.0009300726081893284,0.0008753624547664267,0.0008362837737500684,0.0007893893565304384,0.0007815736203271667,0.0007659421479206234
math_reasoning,64478.0,967170.0,91503.0,2.419135208908465,0.6533701417537765,0.3602469059213996,0.1967337696578678,0.10549334656782158,0.054731846521294085,0.02717205868668383,0.012857098545240237,0.005397189739135829,0.002233319892056205,0.0007134216321846211,0.0001550916591705698,3.101833183411396e-05,0.0,0.0,0.0
qa,56083.0,841245.0,50813.0,1.9060321309487724,0.5366332043578268,0.21562683879250397,0.0837686999625555,0.036374658987571994,0.017384947310236612,0.009218479753222902,0.004332863791166664,0.001658256512668723,0.0008737050443093273,0.00010698429113991763,5.349214556995881e-05,0.0,0.0,0.0,0.0
question,72638.0,1089570.0,75716.0,2.0423745147168146,0.577246069550373,0.260070486522206,0.11328781078774196,0.051529502464274894,0.02369283295244913,0.009884633387483136,0.004185137255981718,0.0015281257743880612,0.000633277347944602,0.0002065034830254137,8.260139321016548e-05,1.3766898868360913e-05,1.3766898868360913e-05,0.0,0.0
rag,39295.0,589425.0,34191.0,1.870110701107011,0.5283878356024939,0.21297875047715994,0.07705814989184374,0.031225346736225984,0.013258684310981041,0.004835220766000763,0.0017559485939686982,0.0004580735462527039,0.00015269118208423465,0.0,0.0,0.0,0.0,0.0,0.0
summarization,27871.0,418065.0,18783.0,1.6739263033260379,0.4592587277098059,0.15431810842811525,0.04240967313695239,0.011696745721359118,0.0037673567507445016,0.0015069427002978005,0.0005023142334326002,0.0002511571167163001,0.00014351835240931435,3.587958810232859e-05,3.587958810232859e-05,0.0,0.0,0.0,0.0
tool_call,34289.0,514335.0,31692.0,1.924261424946776,0.544081192219079,0.2337775963136866,0.08801656507917992,0.03531744874449532,0.014261133308057977,0.005716118871941439,0.0020997987692846103,0.0006999329230948701,0.0002333109743649567,2.9163871795619587e-05,2.9163871795619587e-05,0.0,0.0,0.0,0.0
translation,33496.0,502440.0,25524.0,1.7620014330069262,0.4717578218294722,0.19453069023166944,0.06570933842846907,0.020569620253164556,0.006985908765225699,0.0018509672796751852,0.00038810604251253883,0.00017912586577501792,2.9854310962502986e-05,0.0,0.0,0.0,0.0,0.0,0.0
writing,72048.0,1080720.0,75036.0,2.0414723517654894,0.5753525427492783,0.26067343992893627,0.1145625138796358,0.05138241172551632,0.02353986231401288,0.010007217410615145,0.004038974017321785,0.0013740839440373085,0.00044414834554741284,8.327781479013991e-05,1.3879635798356651e-05,0.0,0.0,0.0,0.0
