subset,num_drafts,num_draft_tokens,num_accepted_tokens,acceptance_length,acceptance_at_pos_0,acceptance_at_pos_1,acceptance_at_pos_2
HumanEval,127667.0,383001.0,156083.0,2.2225790533183987,0.6369226190009948,0.37202252735632546,0.21363390696107842
math_reasoning,63638.0,190914.0,85281.0,2.34009554040039,0.6700084854960873,0.4143593450454131,0.2557277098588893
qa,59031.0,177093.0,55850.0,1.9461130592400604,0.5451711812437533,0.26889261574427,0.13204926225203706
question,72891.0,218673.0,77841.0,2.0679096184714165,0.589537803020949,0.3120275479826042,0.16634426746786296
rag,39480.0,118440.0,36104.0,1.9144883485309019,0.5397922998986828,0.25585106382978723,0.11884498480243161
summarization,26798.0,80394.0,19188.0,1.716023583849541,0.4668258825285469,0.1812821852377043,0.0679155160832898
tool_call,34451.0,103353.0,32517.0,1.943862297175699,0.5515079388116455,0.26617514731067315,0.12617921105338017
translation,33672.0,101016.0,27006.0,1.802031361368496,0.4900510810168686,0.2210144927536232,0.09096578759800428
writing,69180.0,207540.0,75159.0,2.08642671292281,0.5953454755709743,0.31919629950852846,0.1718849378433073
